interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
19442|1801|83|1|17|Call|2
65937|335|19|3|28|In-Person|2
50163|1518|3|2|50|Email|1
3936|226|62|4|16|Chat|3
51315|519|52|5|1|Email|2
20665|296|51|3|41|Chat|4
38445|513|24|3|36|Email|2
47409|1666|99|3|36|Email|5
32212|595|89|1|24|Call|4
39760|425|8|1|3|Call|5
76025|114|9|1|2|Email|5
76866|606|43|3|38|In-Person|2
63611|104|67|3|33|Email|3
79463|446|98|2|17|Call|2
38129|157|18|5|23|Call|1
83997|756|2|2|45|Call|2
11906|817|49|3|35|Chat|2
65513|1028|80|5|6|Chat|2
9971|1731|8|2|23|Email|2
6083|1615|45|3|9|Chat|5
74546|1737|6|3|43|In-Person|3
82631|1440|11|4|16|In-Person|4
53989|1654|27|4|47|Email|4
27034|1297|23|5|22|In-Person|1
5347|261|28|3|8|Call|4
7374|1288|65|5|48|Chat|2
26082|631|46|2|6|Call|3
88002|1616|17|3|10|In-Person|5
59506|1667|72|5|50|Call|5
74115|955|78|1|18|Call|2
28555|1015|66|4|49|Email|1
9194|1800|48|2|39|Call|1
22949|227|60|1|34|In-Person|1
71646|397|66|1|20|Email|2
51905|1063|59|4|26|In-Person|2
63055|1713|94|1|22|Call|2
79894|729|58|5|11|Call|1
95642|1042|34|1|13|Email|4
38248|1792|6|5|1|Chat|1
41311|1628|9|4|33|In-Person|2
8585|591|54|2|22|In-Person|5
29379|1309|50|3|41|Email|1
59149|1726|91|3|46|In-Person|3
53317|330|72|1|28|In-Person|2
46111|994|17|4|49|Chat|2
21811|517|47|1|39|In-Person|2
60213|875|14|4|25|In-Person|3
46337|1419|34|5|18|In-Person|2
68090|194|21|1|8|Email|2
14789|1516|39|4|50|In-Person|2
61888|766|56|4|29|Chat|2
37299|893|4|5|50|Email|4
20914|1198|60|2|5|Call|3
33032|1763|39|3|46|Chat|3
17634|348|29|2|41|Email|4
28086|894|52|1|42|Email|5
56082|1166|29|3|33|Call|3
47238|337|77|4|38|In-Person|2
63370|1485|88|2|36|Chat|1
57924|971|18|3|32|Call|4
12027|1411|62|5|48|Email|3
63371|244|79|2|25|Chat|4
63540|1179|1|3|16|In-Person|3
49554|538|2|3|40|In-Person|2
70106|22|12|4|3|Chat|2
22582|430|59|5|13|Email|4
24403|1760|61|3|10|Chat|5
599|307|21|1|34|Email|4
59340|128|94|3|37|In-Person|2
46315|590|84|1|32|In-Person|2
11673|1245|70|3|16|Chat|4
70055|316|30|4|15|Call|1
89585|998|66|1|44|Chat|4
98726|1049|48|3|37|In-Person|5
49365|1480|12|5|12|Chat|3
32467|1536|34|5|18|Email|3
50588|758|68|5|27|Call|2
22189|1038|79|1|24|Call|4
28270|1038|6|2|35|Email|5
68081|420|84|3|14|In-Person|3
66973|957|21|1|38|Chat|4
77124|1779|26|3|22|Email|1
748|1288|78|3|42|In-Person|2
22313|1453|44|5|45|Chat|5
87062|1653|36|3|29|In-Person|3
71019|381|99|5|9|In-Person|3
57025|446|66|1|4|In-Person|2
81621|239|57|1|30|Chat|4
31565|328|6|1|47|Email|2
76751|766|51|2|28|Chat|5
60251|1409|51|4|32|In-Person|5
1991|1627|62|5|41|Email|3
51186|600|32|1|21|In-Person|1
6421|703|16|3|44|Email|3
5738|972|90|3|7|Chat|2
9141|1150|15|1|43|Call|3
29550|870|79|1|44|Chat|4
18274|982|23|2|41|In-Person|2
17029|1628|4|1|28|Email|5
94118|712|52|3|15|Chat|2
96038|356|68|2|46|Email|5
21981|711|83|4|47|Email|1
68142|1083|61|3|50|Chat|4
42031|220|94|1|2|Chat|1
9805|65|19|1|35|Call|5
862|438|50|3|8|Email|4
39879|838|97|2|47|Email|5
62347|1808|8|5|45|Chat|1
9227|891|91|1|13|In-Person|3
79503|803|31|4|16|In-Person|4
68001|360|89|1|23|In-Person|3
25076|973|37|1|28|Chat|4
12980|569|94|4|14|Chat|1
14436|49|63|5|18|Call|5
55430|594|42|3|49|Call|2
43240|842|25|3|20|Email|4
15939|1340|65|5|17|In-Person|4
89139|1540|42|3|6|Call|4
56571|1582|50|1|16|Chat|3
97339|632|32|5|43|In-Person|5
91308|233|62|2|41|Call|3
20772|576|68|1|43|Chat|2
69091|933|89|5|44|In-Person|3
4436|1105|53|3|3|Call|5
38052|1223|93|3|22|In-Person|4
83294|216|43|4|14|In-Person|2
96588|1360|11|1|19|In-Person|4
70546|619|18|2|45|In-Person|1
97551|990|1|3|11|Chat|3
46357|168|23|5|13|Call|2
30866|1139|53|1|48|Call|3
49849|694|5|5|8|In-Person|3
31312|1197|31|1|45|In-Person|5
50011|106|52|1|12|Chat|5
91469|708|91|1|3|In-Person|2
73805|1676|1|2|30|Email|1
48079|1285|77|2|19|Call|1
11016|160|72|4|29|Call|4
84418|465|60|1|41|Email|5
59782|1628|36|1|25|Chat|5
52855|1198|62|4|28|In-Person|2
44098|1658|84|4|33|Chat|5
12356|1067|34|2|27|Email|3
64317|960|87|4|16|Chat|1
13303|514|33|5|21|Chat|1
97454|605|41|2|45|In-Person|3
46144|821|26|5|31|Email|3
24341|348|77|1|38|Email|1
83248|903|60|2|31|In-Person|4
16224|1518|87|4|39|Call|5
51583|903|52|3|4|Call|5
96783|1260|64|1|32|Email|3
13759|39|87|5|4|In-Person|3
36180|1273|9|3|39|In-Person|2
60760|1061|57|5|30|Chat|3
40796|1480|32|4|12|Email|4
43639|821|59|5|21|In-Person|3
1335|171|83|1|6|In-Person|2
80332|1548|80|1|11|Email|3
60604|980|25|1|4|Chat|3
27185|951|91|2|4|Chat|3
7295|1819|50|1|26|Call|5
2212|372|25|3|3|In-Person|2
23915|562|94|1|38|Chat|1
80108|1228|56|2|38|Call|1
58301|896|93|3|7|In-Person|1
84584|128|73|3|46|In-Person|4
91981|1777|5|1|20|Call|5
10251|872|90|4|33|In-Person|1
74058|705|99|1|8|In-Person|5
12438|1430|5|5|45|Chat|1
14172|135|70|3|12|Chat|5
78110|1814|39|3|38|Call|4
90808|226|67|2|10|In-Person|4
9232|676|7|5|28|In-Person|4
62173|1333|84|4|5|Call|3
67418|697|29|1|46|Call|4
69164|1047|41|2|47|Call|5
78152|1031|67|5|13|In-Person|1
72501|1742|60|4|19|Email|2
12583|566|38|5|4|Chat|5
48375|661|34|1|20|Chat|3
8502|1483|12|2|48|Call|3
80308|988|83|5|27|Email|4
15250|420|51|3|45|Email|3
74539|852|25|3|14|Email|1
5828|1002|6|4|29|Call|2
97928|1397|49|1|5|Call|4
31579|1749|93|2|3|Email|1
5798|1156|14|5|46|In-Person|2
39573|1713|65|2|32|Email|4
71077|504|46|1|5|Email|1
45712|1000|45|4|24|Email|5
64208|672|37|4|38|Email|2
