balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
36652|1107|85|2|726818.39|551018.37|616564.95
36401|1072|58|3|305798.49|117019.7|370646.405
32811|527|73|1|161864.63|192372.76|652599.87
14796|1502|15|1|887578.47|427151.37|504369.485
62220|1539|25|1|106353.3|67711.99|899586.065
88062|41|58|2|493266.21|445167.19|719913.05
25184|284|90|1|312580.83|602734.83|488050.015
96360|1511|95|1|144969.52|259263.44|697802.61
4324|1658|30|1|1494.43|161924.62|377039.425
50359|350|77|3|587188.28|226408.58|838041.45
53643|152|53|3|334488.3|670948.97|395310.375
27306|1129|67|1|161807.31|951018.58|526960.75
12638|702|46|2|911176.25|825141.58|908586.145
31359|279|4|1|448935.16|490809.96|465626.53
76755|822|1|3|805565.79|146797.5|287786.415
41838|1316|56|1|385390.9|998400.95|712593.845
75970|499|13|2|573959.6|739944.01|723609.405
47901|1552|93|3|22202.93|948715.47|389203.03
8140|1009|69|2|944665.96|26845.81|420115.085
51250|1814|71|3|21905.7|927760.3|436411.16
92758|1498|44|3|419025.14|848968.63|142487.92
96381|1651|45|2|347507.08|562121.52|591303.605
34690|876|41|3|284026.42|864635.58|492390.525
59851|1155|14|2|204302.6|857677.29|275427.79
71548|1076|20|2|269151.25|341481.04|473655.385
14361|876|25|1|744306.78|103019.38|323738.46
97854|42|50|2|155619.32|990500.54|737102.25
38114|93|13|2|583491.1|576625.2|138783.62
11502|138|54|2|412415.61|762161.71|393465.465
85850|1427|64|3|987954.23|296335.44|696384.03
54429|163|50|2|683443.1|335967.23|369564.35
39020|82|22|2|935513.66|274415.74|442305.745
53180|977|62|3|139722.14|431792.0|386555.055
17556|1041|27|2|817527.69|656570.03|422013.53
98033|596|33|1|409643.69|727972.35|389231.52
64673|833|15|3|621889.65|921908.15|557874.22
66202|1295|13|3|854204.05|852443.57|603898.36
48113|1148|32|1|172690.89|915497.51|218633.52
27090|1090|38|1|52647.36|236383.79|340026.165
9511|956|19|3|254305.3|527703.45|490900.15
26008|555|33|2|16267.51|513911.29|539105.72
8110|1610|50|2|703424.41|669357.15|695856.825
42983|1822|96|3|143492.75|683532.08|589818.77
21481|332|18|3|997074.0|224995.37|446517.05
47804|601|46|1|987961.03|604939.9|113020.3
54209|141|94|1|920635.52|26526.74|505159.1
37084|363|100|2|782614.22|860476.31|406168.67
21366|1495|17|3|569584.79|755169.02|464913.185
60943|330|89|1|62535.25|960797.82|340474.555
39641|96|83|1|899775.91|345851.88|643990.325
35638|1745|27|3|545497.36|769721.43|387641.815
53701|247|51|1|85634.14|312988.18|725213.98
89618|347|29|2|135099.79|980789.85|814324.15
81093|437|23|3|717397.58|962228.27|430887.31
84394|144|87|3|552405.28|352249.87|347177.06
77902|982|8|3|116148.23|327015.37|96911.825
15156|1187|31|1|363486.06|791134.95|623843.05
51426|773|7|3|816774.29|679717.53|525011.005
1115|1791|39|2|86334.35|518660.06|642900.9
93865|1011|83|1|214138.77|859821.55|366356.375
91460|1298|50|3|777632.71|546755.57|665673.5
92221|1299|64|1|362965.6|818197.36|590683.195
21000|173|9|1|49004.12|790328.91|503572.48
56954|525|46|3|942652.06|33134.4|598105.175
9176|191|61|1|113054.5|566064.04|330077.455
48756|1612|12|1|879036.31|640915.79|539965.145
75699|380|20|3|901175.9|620656.98|432436.935
27387|396|5|2|855551.9|171869.74|659917.92
2347|271|68|3|718990.02|615436.56|857602.695
55198|1667|7|3|336610.41|919427.68|530157.59
2073|838|96|3|180465.37|315441.1|191263.17
80743|101|4|1|604654.26|911989.88|432620.885
75135|127|73|1|192273.94|538260.76|312155.34
19754|396|26|3|644472.49|463197.2|412222.06
79845|1337|9|2|867264.31|600618.55|861730.57
72894|1687|5|1|850482.64|268614.14|467618.48
8095|1738|63|3|797666.81|608562.56|409057.56
61710|1142|5|2|790793.6|688960.87|614660.07
99830|544|14|2|14794.46|8655.1|701636.435
22416|1413|77|2|299392.53|241860.86|450943.05
17085|1617|51|2|379337.25|53244.21|283377.635
90574|701|19|1|791876.56|567083.65|518644.485
84081|1277|63|1|421389.28|104294.29|434304.43
38553|1009|45|2|268297.7|597463.79|97519.585
7260|953|24|2|871936.33|711578.67|326661.59
75540|1601|99|2|963859.11|878796.11|590888.24
