investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
80286|1711|5|84|40|1|211153.45|5573.74
57531|1194|5|53|39|2|698562.63|3729.65
81006|11|3|64|15|2|848773.8|5816.71
17797|539|3|33|1|1|917926.11|-1708.08
55427|1115|5|42|19|3|117599.96|-4439.68
68633|893|2|35|33|1|982136.57|1485.01
10785|1814|3|78|37|2|803862.96|8843.27
14091|689|4|91|25|2|419117.11|-4418.1
39017|511|5|11|49|1|820364.27|1631.42
72486|38|5|37|41|3|711439.7|11419.19
81410|1536|4|78|23|1|307514.64|-3731.2
28582|1440|2|51|23|2|396192.88|1948.75
48595|920|3|38|21|2|605954.13|8946.88
89784|1142|4|40|17|1|843114.83|4256.22
47816|526|5|88|48|2|110689.14|9343.79
8159|1701|5|9|5|2|474741.06|7902.94
75213|1275|1|88|40|3|803689.91|13271.78
19831|1211|3|1|27|2|286264.55|10846.54
31427|875|4|17|50|2|833189.68|1026.16
92631|1045|4|20|25|1|555477.4|5391.8
48546|185|2|92|4|1|687542.68|390.57
81953|1446|4|40|39|1|194551.12|3493.23
37532|1724|4|58|6|3|322660.12|8067.93
36647|408|4|98|23|3|359432.97|-3291.17
6375|175|5|34|5|3|905891.89|11116.17
16282|1496|5|72|21|2|143089.39|-3477.32
28362|259|1|49|40|2|245580.64|-1966.73
94243|542|2|17|2|1|872621.17|126.22
85867|1788|5|19|44|1|640070.26|14790.07
29985|1152|2|63|14|2|78204.73|1593.18
6119|627|5|71|19|2|194796.99|-4106.63
91088|970|2|96|49|3|57913.48|13546.67
15519|553|3|97|28|3|13405.96|13535.04
56147|213|4|48|43|1|211046.5|4860.67
56433|310|5|43|22|2|349292.07|5915.79
22544|1198|5|87|33|1|198365.73|12846.41
51874|1786|5|35|48|3|265198.29|889.92
86610|317|3|85|47|2|626951.89|14154.15
34978|375|1|36|45|1|928160.04|2008.46
94956|1767|5|16|39|3|746859.46|5616.52
47105|1266|4|75|6|2|13573.51|-714.39
11949|627|3|76|26|3|675049.5|-844.02
73756|882|3|54|35|1|397207.02|-3098.66
74532|1236|3|57|15|3|339071.79|6574.33
6086|404|4|57|32|3|201113.5|12722.28
21922|181|4|45|6|1|923929.5|3078.48
58293|1081|1|24|12|3|885927.49|11569.6
11947|136|1|96|21|3|51391.8|14411.47
77452|1403|5|82|27|1|831234.01|10517.69
42123|1308|5|45|6|2|195440.8|-2420.24
25758|1495|1|27|33|2|615311.05|6632.06
93501|839|4|71|9|3|262102.19|3750.71
57595|1688|4|71|10|3|200839.27|11631.57
56693|861|4|30|33|2|818411.35|12840.89
79027|1204|1|18|20|1|925558.27|8072.28
65184|144|5|98|18|1|616003.51|-2137.22
8453|541|1|75|38|1|997274.38|10587.94
37214|17|1|45|13|2|937728.37|8394.2
19908|1215|5|19|34|3|334430.3|4000.42
92931|78|2|70|49|3|720925.89|10351.7
76024|1413|5|61|29|1|550207.69|11007.45
20680|1320|4|15|37|1|573365.92|4046.17
93154|1790|4|23|13|2|214963.59|2570.72
63216|1334|4|80|17|3|484526.02|12609.91
51238|121|5|5|1|2|868666.98|11034.28
27436|216|4|3|47|1|368876.03|10463.85
30650|339|1|41|11|2|214253.38|6172.45
24954|1415|1|87|9|1|569611.59|-2516.19
58860|1767|3|90|5|1|673479.22|1530.83
47891|1385|2|86|35|3|42628.23|-1050.27
3010|97|2|8|47|1|574135.48|577.63
40703|1666|4|28|36|1|27669.71|2265.35
35519|1737|1|57|42|2|630073.04|-4836.81
84892|1203|4|54|44|2|858486.4|8642.71
14709|155|1|5|38|3|427625.15|9871.05
84626|1038|2|45|27|2|614280.59|6536.9
92436|1692|5|42|11|3|227480.98|1171.16
36520|1264|2|35|3|2|328670.52|543.57
10416|1702|4|90|34|1|130911.03|8645.86
82371|999|3|80|14|2|469333.16|5266.97
11746|18|3|17|5|1|295076.9|3814.27
40317|32|3|89|37|2|50398.87|8115.02
98816|512|1|84|40|2|951526.58|12407.96
88179|757|1|14|46|2|454920.51|2402.28
46195|716|4|65|49|3|813431.06|110.79
43501|374|5|26|40|1|4937.53|9952.84
83361|1047|4|63|2|3|772511.5|-96.76
22941|1412|4|24|23|2|323874.56|-3209.27
57163|345|2|79|44|3|993090.58|958.64
12840|1317|3|11|28|1|361309.5|-4193.87
92074|1432|4|77|49|1|561530.88|9056.61
36969|29|5|29|34|3|156722.9|-791.63
27646|1631|5|41|25|3|373736.52|3470.95
77989|738|3|7|28|1|696208.89|8084.46
66642|23|2|25|29|2|120088.05|5401.38
46950|1743|4|14|37|2|53998.99|9565.37
28527|35|2|99|33|2|806769.64|163.48
84314|673|2|40|45|3|671494.31|4851.77
21165|313|2|15|12|1|757410.96|-2257.66
91617|103|2|14|44|3|839150.44|-4022.93
1912|1458|4|28|45|1|753322.05|-10.15
69898|1762|2|55|21|2|370347.15|-2685.65
2345|1011|1|95|18|1|605328.14|12580.52
65723|906|3|82|29|1|581749.81|3614.86
28491|896|1|49|46|3|553685.62|6329.15
18474|1491|1|90|7|1|506762.04|8728.68
28729|126|1|61|4|1|835085.55|3173.83
43544|490|5|73|8|3|703092.27|-4182.17
93244|1079|3|11|30|2|280765.53|-1052.74
58481|1139|4|43|42|2|476053.62|10626.68
6956|1110|4|25|23|2|926228.53|-4622.18
12643|892|2|92|2|3|215993.66|-3116.53
75849|640|2|97|43|3|675969.97|2798.35
86295|1148|3|3|5|3|860206.44|13079.24
22770|424|1|62|32|2|628634.74|7034.56
98498|474|3|94|4|2|592687.74|-3541.42
80184|973|4|83|45|3|432744.87|2643.54
76610|790|5|59|30|3|940496.8|-10.69
43557|335|4|59|31|3|475249.98|-3311.24
89267|542|3|21|22|2|461533.35|-2173.68
65813|1545|1|43|39|3|132216.26|11959.88
10946|512|5|78|22|3|650195.57|2947.41
93782|1751|4|24|14|2|24159.95|13.91
22651|1600|5|4|31|3|230273.96|12540.18
13400|1247|2|53|31|1|323945.2|-1400.32
60863|1623|2|49|2|3|590526.06|14195.53
27309|1680|5|66|30|3|712942.16|2170.78
8818|811|2|1|26|2|878030.74|6135.96
54851|1009|2|25|47|2|709799.2|2303.64
35296|1320|3|57|21|3|249964.36|-2499.6
44772|39|2|28|43|1|582600.95|7860.27
15180|1698|1|23|44|2|569202.67|-4106.23
43229|71|5|68|37|3|230917.54|14306.84
26866|1037|4|20|29|1|482776.19|6918.2
89666|739|4|89|41|1|862683.51|5884.26
63812|1157|5|10|9|3|566780.52|8602.84
28287|1550|2|34|13|1|621755.3|-4150.05
384|216|4|39|48|2|374322.57|2867.24
68360|558|1|7|24|3|605440.63|11753.33
34588|1679|4|78|31|3|795216.4|12160.49
60463|884|3|22|34|3|854293.28|7095.19
15208|687|1|66|39|3|244052.43|-1284.95
37869|662|1|21|47|1|996693.96|11555.98
72780|14|3|17|30|2|297280.41|6787.94
82773|849|5|32|17|1|269971.31|-145.5
26896|1519|5|30|3|1|64083.61|6293.62
38704|606|1|17|49|1|116005.6|10010.53
69876|1069|2|45|32|3|115650.82|9833.34
83852|1096|1|76|4|3|621774.26|825.76
73476|1337|5|64|28|1|594870.85|-846.18
5988|1647|4|100|9|2|408496.38|10904.08
34094|1282|1|85|17|1|257863.79|14424.61
4508|416|4|42|32|2|633328.7|-3493.59
71750|1315|1|15|17|3|466129.26|-2503.6
2951|788|3|86|38|1|355435.0|9380.92
11825|1129|2|48|27|1|823774.48|10250.27
62504|710|1|49|15|2|94654.39|8886.11
35762|1355|5|74|26|2|604660.63|9964.26
6347|1216|5|51|45|3|633343.69|2222.64
5135|427|3|50|27|2|600433.71|-2738.09
91120|51|3|46|22|3|19655.53|-1872.75
41741|1506|2|70|43|2|233850.95|1323.52
35705|563|1|93|33|1|919297.95|6982.6
