loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
16089|1320|41|97|23|2|36487.1|Pending
67485|226|2|93|7|2|164250.9|Pending
16287|646|4|67|5|1|439366.73|Rejected
74772|261|37|87|7|3|176204.15|Approved
92253|1048|3|12|8|2|306074.87|Approved
40085|177|47|33|44|1|365617.91|Pending
74738|1310|46|26|45|1|97670.97|Approved
10638|141|35|86|1|1|379360.71|Rejected
91707|1063|6|54|40|2|22766.26|Pending
34113|995|2|93|18|3|88474.85|Rejected
24856|1449|8|69|44|1|320180.0|Approved
39828|255|25|9|41|2|249328.49|Approved
66313|475|17|59|42|1|244887.13|Rejected
1949|1003|45|67|38|3|275732.62|Pending
61984|522|7|51|44|2|96182.12|Pending
617|580|41|39|24|2|231922.3|Approved
19140|1445|46|75|11|1|266802.85|Approved
48447|960|15|56|28|2|303571.92|Pending
44250|238|20|75|48|2|162791.27|Approved
48440|506|44|69|48|2|442871.99|Pending
55041|872|31|38|24|2|266157.81|Rejected
12944|191|48|92|37|2|447261.75|Rejected
82762|386|11|41|9|3|340339.25|Pending
74034|557|48|21|28|3|85887.45|Pending
50703|279|20|61|3|2|52114.49|Rejected
15524|1312|19|45|31|2|69046.29|Pending
55364|1246|6|13|34|2|274844.92|Rejected
89031|459|1|76|15|2|83089.46|Rejected
8329|1007|20|95|12|2|434520.55|Approved
46076|166|15|78|18|1|236829.71|Rejected
18732|496|47|56|19|3|10861.44|Rejected
23221|1141|47|67|17|2|175039.06|Approved
29231|285|43|74|40|3|275068.22|Rejected
55869|1752|8|35|15|3|95729.73|Approved
6535|1805|2|22|46|2|311606.69|Pending
17420|57|3|92|39|2|462463.49|Pending
99983|408|34|45|3|1|157623.22|Rejected
84420|1641|27|82|4|1|183704.15|Approved
7202|740|5|81|3|1|259685.68|Pending
18226|1652|13|49|4|2|232623.6|Rejected
36496|1436|44|83|42|2|233027.56|Pending
98866|1679|28|90|7|2|78737.56|Approved
55458|132|39|26|8|2|442052.56|Approved
87656|943|44|10|20|2|438071.2|Approved
25818|68|15|54|2|1|68329.7|Approved
32803|1318|17|65|29|2|120582.42|Pending
2200|1266|13|92|4|1|185546.09|Approved
92205|1191|17|59|18|2|244308.67|Approved
52448|311|50|56|46|2|305481.56|Rejected
27924|321|4|4|47|3|100419.65|Approved
22730|1306|10|55|33|3|462568.84|Rejected
73575|741|8|46|2|3|101946.61|Approved
49314|1691|36|76|20|3|245139.2|Pending
63278|326|18|89|20|1|134498.06|Rejected
71719|732|23|82|30|3|381354.19|Rejected
71353|389|48|13|29|1|142735.43|Approved
4902|1489|45|96|25|2|365102.55|Approved
5099|1636|24|71|17|2|229579.28|Pending
58813|187|24|66|7|3|384846.12|Rejected
91470|898|43|6|38|1|341042.82|Approved
10017|1281|28|27|5|1|455232.74|Approved
86362|558|10|90|31|3|413935.44|Rejected
50875|1189|20|91|6|3|128202.72|Pending
60554|1749|20|73|20|1|175733.82|Rejected
15422|1689|48|98|34|1|213317.56|Pending
3725|826|3|80|48|2|477483.4|Rejected
81596|438|35|66|29|3|377472.69|Pending
3189|1286|9|25|27|3|432924.63|Pending
37945|805|5|76|32|3|249707.45|Approved
93458|643|50|85|48|2|394565.4|Pending
2159|823|43|28|18|2|244984.35|Pending
96367|503|25|85|27|3|349526.22|Rejected
62912|416|36|85|26|3|183269.76|Rejected
87523|956|27|57|7|3|367852.69|Approved
48164|472|31|86|10|1|487554.35|Pending
60571|1351|29|47|7|2|78056.06|Rejected
32603|1784|20|10|38|1|441480.64|Approved
689|782|48|95|28|2|163507.26|Pending
96569|742|45|88|10|3|376040.66|Rejected
35522|781|37|95|44|1|339195.04|Pending
70681|1489|29|81|5|1|103396.03|Approved
98737|929|29|9|45|2|48253.86|Approved
54522|455|46|49|21|2|316764.66|Rejected
46954|528|43|16|41|1|87098.69|Pending
5410|972|50|44|13|1|147027.74|Approved
20380|90|19|48|2|1|208765.02|Rejected
80372|753|36|29|29|3|83518.22|Pending
76004|246|6|92|13|2|401047.33|Rejected
70931|1025|41|50|6|2|491460.22|Approved
10872|1356|44|98|11|1|324860.6|Rejected
84656|45|48|14|14|3|24252.47|Approved
65337|1194|9|45|32|2|379475.23|Approved
49324|404|18|40|3|2|131415.24|Pending
46932|875|50|44|46|1|91577.25|Pending
38695|779|40|73|9|2|272756.14|Pending
95990|851|7|38|22|2|297099.35|Rejected
30665|1026|16|19|50|1|171603.41|Rejected
59864|1268|25|36|25|3|283929.59|Approved
27557|1152|25|8|24|3|446749.82|Approved
47652|403|32|24|31|2|443305.74|Rejected
82522|254|8|63|24|2|320815.07|Rejected
73834|147|13|88|37|2|156562.57|Rejected
19768|247|43|25|47|2|129804.08|Approved
97158|377|36|74|21|3|263963.13|Rejected
27884|588|27|70|19|2|130305.66|Pending
31444|896|6|52|11|3|17437.0|Pending
4105|77|8|46|7|1|159812.26|Approved
48245|151|46|77|47|3|16483.45|Rejected
2460|1825|3|41|3|1|498419.29|Pending
62336|1103|26|68|29|1|181965.04|Rejected
2753|1072|29|75|4|3|89354.85|Pending
63046|340|11|84|24|1|70551.35|Approved
91062|113|44|40|41|1|200620.44|Pending
40993|734|47|70|49|3|228497.73|Pending
91703|735|31|78|22|1|325399.88|Rejected
42768|1169|20|1|45|3|461563.19|Pending
33678|1660|13|13|22|2|489280.8|Rejected
50357|1048|15|11|49|1|496367.89|Approved
39218|1303|14|95|31|1|402751.62|Pending
82241|676|15|92|47|2|174384.66|Pending
71217|894|50|50|11|1|111909.96|Pending
97697|1397|2|82|6|1|21979.94|Rejected
76624|94|8|3|13|3|46716.44|Approved
31361|252|34|59|10|1|188530.06|Approved
56224|1550|42|27|1|2|136749.24|Approved
6570|1169|12|65|49|2|264474.04|Approved
10448|1581|45|43|11|2|433983.71|Pending
43997|1811|50|85|38|2|130601.55|Approved
4539|1683|9|35|15|3|299524.37|Rejected
94424|1583|21|37|42|1|171633.68|Approved
15847|596|28|37|43|3|297864.93|Approved
96956|591|9|58|31|2|181379.76|Rejected
39592|1113|37|71|37|2|320255.72|Approved
63144|520|27|65|26|1|188611.73|Rejected
368|215|29|80|48|1|360707.13|Approved
32839|867|17|1|1|3|160051.88|Rejected
10130|1116|22|15|39|1|237030.48|Rejected
88393|480|17|72|10|3|483324.39|Pending
76257|1394|24|93|20|3|350911.72|Pending
83814|764|2|84|27|3|95835.65|Approved
8351|1735|41|34|39|1|271271.14|Pending
1779|577|22|68|21|3|27801.86|Approved
59339|470|12|18|37|2|227048.18|Pending
33034|591|3|67|21|2|280757.87|Pending
87645|982|47|92|47|1|46948.72|Pending
20836|1287|47|52|38|1|123113.02|Pending
79020|1437|26|52|6|2|142923.28|Approved
24064|770|41|69|9|2|59375.55|Approved
40967|957|12|18|22|1|374182.24|Approved
40887|206|12|50|9|3|139809.3|Pending
35693|969|23|81|16|3|132132.05|Rejected
50666|1270|3|14|25|2|211652.87|Rejected
59129|1423|43|33|31|2|462530.19|Rejected
53875|1007|42|96|7|3|171474.33|Pending
54285|1343|13|8|33|2|133455.62|Rejected
41346|3|31|82|50|2|54984.58|Pending
20058|265|9|39|3|2|151980.51|Approved
99706|1508|41|85|44|1|145739.26|Rejected
43956|693|6|86|10|1|280550.42|Approved
66926|1270|24|57|36|2|371371.44|Pending
14762|132|11|38|24|1|420490.85|Approved
46547|701|24|17|17|3|480886.75|Rejected
64772|572|22|23|15|1|440395.17|Pending
47551|611|25|22|30|2|59976.25|Pending
28825|813|15|14|1|3|332192.79|Pending
17951|741|26|8|21|2|260044.0|Approved
94616|1163|7|3|30|2|325301.77|Approved
19924|756|10|23|41|1|83671.25|Approved
56438|1295|9|69|24|3|328678.13|Rejected
4606|1132|31|53|27|3|35063.65|Approved
1124|1170|17|79|13|1|459456.61|Pending
30149|1725|42|55|35|1|79524.85|Approved
90255|1557|10|76|40|3|448266.87|Pending
76824|848|14|11|2|1|327633.04|Rejected
39728|1031|42|93|40|2|13002.25|Approved
64668|1714|33|58|20|2|11572.9|Approved
55813|94|32|69|20|3|233589.72|Approved
71399|1616|8|74|50|2|76426.08|Rejected
69826|324|36|99|35|3|425473.67|Pending
10810|1569|45|21|28|2|146160.93|Pending
17098|1181|17|55|30|1|57013.23|Pending
28943|1347|38|54|36|1|16136.55|Pending
33587|68|24|61|2|2|489018.44|Approved
19304|1042|16|28|7|1|253288.62|Pending
92132|111|11|60|13|3|118915.92|Pending
14488|928|44|55|29|2|437007.38|Pending
58540|1668|18|11|4|3|399149.87|Approved
51763|601|28|65|9|1|225517.05|Rejected
93763|1046|9|4|14|2|56013.67|Rejected
34468|88|17|31|15|2|364242.46|Pending
43631|769|12|80|34|3|52237.25|Rejected
25235|396|42|66|17|3|20738.43|Pending
63534|522|16|74|29|3|289572.31|Pending
