transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
23168|53|4|97|1|7|3|283.32|Pending
44234|862|2|11|1|41|3|3881.54|Pending
68256|418|2|20|3|31|1|1627.03|Pending
66605|734|3|30|4|29|3|4433.89|Failed
91250|283|1|24|2|16|3|4748.89|Pending
38889|1628|1|10|3|35|3|5465.25|Failed
68746|112|4|54|5|35|3|9213.64|Failed
27645|1429|3|63|4|4|3|5372.75|Completed
49794|1537|4|28|5|2|2|9546.16|Failed
4797|1123|3|100|1|5|2|3998.94|Failed
29844|1157|4|57|3|44|1|6279.03|Failed
37148|1798|2|83|5|19|1|4647.06|Failed
62513|1351|4|69|2|39|1|7936.24|Pending
81865|1670|2|80|2|21|1|7153.08|Pending
82466|803|4|21|4|30|1|6499.56|Completed
45899|182|2|16|2|11|3|9131.12|Failed
18640|479|3|67|5|33|2|7259.05|Pending
56974|870|1|44|1|21|1|4031.06|Failed
41660|417|4|18|2|25|1|9614.19|Completed
70102|1440|4|15|3|44|1|8329.2|Failed
49028|616|4|25|2|48|1|6994.3|Pending
56825|1247|1|63|3|30|1|309.86|Pending
82889|478|3|36|5|21|2|9946.91|Pending
45991|1355|4|65|1|21|3|8137.14|Failed
9183|710|2|11|5|34|1|19.88|Completed
92344|3|4|43|3|48|2|3795.84|Failed
53239|995|4|72|4|15|3|9550.67|Pending
6564|49|3|70|2|38|3|6611.67|Pending
2735|171|3|39|4|38|3|148.87|Pending
12780|1449|3|94|1|50|2|8404.8|Pending
35477|131|4|13|5|40|2|1702.71|Completed
57549|1230|2|32|5|21|3|2817.0|Completed
36418|275|3|93|2|27|2|7014.85|Completed
56458|224|1|16|1|24|2|4435.32|Pending
54759|173|1|77|1|11|1|9715.64|Failed
78478|953|1|78|1|20|2|6189.29|Completed
45993|634|1|29|3|44|3|6097.32|Completed
19038|816|3|12|2|15|1|7947.27|Completed
77510|1278|4|72|3|23|3|2169.81|Completed
52909|1619|3|30|3|12|3|7235.41|Failed
35126|606|4|65|3|43|3|4549.54|Pending
52556|144|2|26|4|11|3|7357.53|Completed
49561|870|3|35|1|45|1|681.47|Pending
28089|264|2|10|3|3|2|7013.83|Failed
23121|244|4|47|3|21|1|7138.4|Completed
24651|279|2|92|4|10|1|7865.23|Completed
40896|757|2|61|3|34|2|9911.19|Pending
66282|1095|3|34|2|27|2|595.52|Pending
12084|1555|4|60|2|16|3|7162.65|Failed
13217|885|2|54|5|16|3|7300.41|Pending
98993|1238|2|13|1|9|1|1003.08|Failed
82356|624|1|27|1|16|2|7437.65|Completed
53154|102|3|61|3|33|2|2017.88|Completed
39902|644|3|76|3|28|3|7550.52|Pending
46555|1763|2|76|3|12|3|3324.96|Completed
28388|504|3|69|2|36|1|9137.01|Failed
63784|538|1|32|2|26|3|6386.81|Failed
44785|1318|3|75|2|45|1|4886.35|Completed
74936|729|3|58|3|36|3|3096.35|Completed
60745|1218|4|57|5|36|1|6833.82|Failed
42055|1294|2|99|1|34|2|7117.22|Failed
97674|1086|3|81|1|14|2|6380.82|Pending
15616|361|1|91|5|46|1|881.22|Completed
7149|1268|1|25|1|26|3|7505.08|Failed
22894|1367|2|92|5|40|1|5915.83|Completed
29431|1769|3|89|4|44|3|5717.93|Failed
45080|951|4|18|1|18|3|2945.83|Completed
37424|1061|4|75|4|18|1|2578.76|Completed
63510|1668|4|18|1|27|3|694.49|Failed
33870|622|1|10|5|30|2|2427.94|Pending
24387|19|3|27|3|23|3|7655.51|Pending
30281|413|3|81|3|19|3|6680.73|Completed
82772|482|3|76|5|39|2|1923.63|Failed
67986|929|4|18|2|25|3|5483.63|Pending
46586|1718|4|89|1|3|2|1647.47|Completed
1581|124|2|57|3|38|2|4059.16|Failed
42752|1271|1|37|2|19|3|2034.74|Pending
31226|1017|4|62|2|42|2|4725.74|Completed
72340|837|1|66|5|40|2|2386.82|Pending
79412|1153|1|78|2|22|2|3053.44|Pending
85994|1752|2|37|4|30|3|9888.36|Pending
67990|290|3|8|2|11|3|3290.99|Pending
